country	subset	label	treatment	block	legume	richness	date (additional dates below!)	species	species name	Biomass (g dryweight)	Individuals survived (at least partly green) (#)	timing	remark
FR	species	D-1258cd	D	2	1	6	25.06.2014	2	Trisetum flavescens	5,64	3	pre	
FR	species	D-1258cd	D	2	1	6	25.06.2014	5	Cerastium fontanum	1,46	3	pre	
FR	species	D-1258cd	D	2	1	6	25.06.2014	8	Taraxacum officinale	3,2	3	pre	
FR	species	D-1258cd	D	2	1	6	25.06.2014	c	Vicia hirsuta	21	3	pre	
FR	species	D-1258cd	D	2	1	6	25.06.2014	d	Trifolium repens	1,3	3	pre	
FR	species	D-2468bd	D	2	1	6	25.06.2014	2	Trisetum flavescens	2,43	3	pre	
FR	species	D-2468bd	D	2	1	6	25.06.2014	4	Dactylis glomerata	11,16	3	pre	
FR	species	D-2468bd	D	2	1	6	25.06.2014	6	Plantago lanceolata	7,29	3	pre	
FR	species	D-2468bd	D	2	1	6	25.06.2014	8	Taraxacum officinale	0,65	3	pre	
FR	species	D-2468bd	D	2	1	6	25.06.2014	b	Trifolium pratense	4,12	3	pre	
FR	species	D-2468bd	D	2	1	6	25.06.2014	d	Trifolium repens	1,07	3	pre	
FR	species	D-567abc	D	2	1	6	25.06.2014	5	Cerastium fontanum	0,62	3	pre	
FR	species	D-567abc	D	2	1	6	25.06.2014	6	Plantago lanceolata	15,69	3	pre	
FR	species	D-567abc	D	2	1	6	25.06.2014	7	Knautia arvensis	3,72	3	pre	
FR	species	D-567abc	D	2	1	6	25.06.2014	a	Lotus corniculatus	2,92	3	pre	
FR	species	D-567abc	D	2	1	6	25.06.2014	b	Trifolium pratense	3,44	3	pre	
FR	species	D-567abc	D	2	1	6	25.06.2014	c	Vicia hirsuta	18,61	3	pre	
FR	species	D-134abc	D	2	1	6	25.06.2014	1	Festuca arundinacea	5,74	3	pre	
FR	species	D-134abc	D	2	1	6	25.06.2014	3	Poa pratensis	1,5	3	pre	
FR	species	D-134abc	D	2	1	6	25.06.2014	4	Dactylis glomerata	6,83	3	pre	
FR	species	D-134abc	D	2	1	6	25.06.2014	a	Lotus corniculatus	1,18	3	pre	
FR	species	D-134abc	D	2	1	6	25.06.2014	b	Trifolium pratense	1,21	3	pre	
FR	species	D-134abc	D	2	1	6	25.06.2014	c	Vicia hirsuta	13,64	3	pre	
FR	species	D-abc	D	2	1	3	25.06.2014	a	Lotus corniculatus	3,55	6	pre	
FR	species	D-abc	D	2	1	3	25.06.2014	b	Trifolium pratense	3,99	6	pre	
FR	species	D-abc	D	2	1	3	25.06.2014	c	Vicia hirsuta	77,03	6	pre	
FR	species	D-2	D	2	0	1	25.06.2014	2	Trisetum flavescens	24,09	18	pre	
FR	species	D-4	D	2	0	1	25.06.2014	4	Dactylis glomerata	30,43	18	pre	
FR	species	C-1467bd	C	3	1	6	25.06.2014	1	Festuca arundinacea	4,94	3	pre	
FR	species	C-1467bd	C	3	1	6	25.06.2014	4	Dactylis glomerata	6,69	3	pre	
FR	species	C-1467bd	C	3	1	6	25.06.2014	6	Plantago lanceolata	5,32	3	pre	
FR	species	C-1467bd	C	3	1	6	25.06.2014	7	Knautia arvensis	2,27	3	pre	
FR	species	C-1467bd	C	3	1	6	25.06.2014	b	Trifolium pratense	3,19	3	pre	
FR	species	C-1467bd	C	3	1	6	25.06.2014	d	Trifolium repens	1,95	3	pre	
FR	species	C-d	C	3	1	1	25.06.2014	d	Trifolium repens	26,79	18	pre	
FR	species	C-17c	C	3	1	3	25.06.2014	1	Festuca arundinacea	10,67	6	pre	
FR	species	C-17c	C	3	1	3	25.06.2014	7	Knautia arvensis	4,98	6	pre	
FR	species	C-17c	C	3	1	3	25.06.2014	c	Vicia hirsuta	34,39	6	pre	
FR	species	C-134abc	C	3	1	6	25.06.2014	1	Festuca arundinacea	4,31	3	pre	
FR	species	C-134abc	C	3	1	6	25.06.2014	3	Poa pratensis	0,77	3	pre	
FR	species	C-134abc	C	3	1	6	25.06.2014	4	Dactylis glomerata	5,24	3	pre	
FR	species	C-134abc	C	3	1	6	25.06.2014	a	Lotus corniculatus	5,92	3	pre	
FR	species	C-134abc	C	3	1	6	25.06.2014	b	Trifolium pratense	3,17	3	pre	
FR	species	C-134abc	C	3	1	6	25.06.2014	c	Vicia hirsuta	18,94	3	pre	
FR	species	C-b	C	3	1	1	25.06.2014	b	Trifolium pratense	29,12	18	pre	
FR	species	C-2468bd	C	3	1	6	25.06.2014	2	Trisetum flavescens	4,97	3	pre	
FR	species	C-2468bd	C	3	1	6	25.06.2014	4	Dactylis glomerata	12,97	3	pre	
FR	species	C-2468bd	C	3	1	6	25.06.2014	6	Plantago lanceolata	7,6	3	pre	
FR	species	C-2468bd	C	3	1	6	25.06.2014	8	Taraxacum officinale	1,16	3	pre	
FR	species	C-2468bd	C	3	1	6	25.06.2014	b	Trifolium pratense	1,78	3	pre	
FR	species	C-2468bd	C	3	1	6	25.06.2014	d	Trifolium repens	2,22	3	pre	
FR	species	C-123	C	3	0	3	25.06.2014	1	Festuca arundinacea	6,35	6	pre	
FR	species	C-123	C	3	0	3	25.06.2014	2	Trisetum flavescens	9,99	6	pre	
FR	species	C-123	C	3	0	3	25.06.2014	3	Poa pratensis	1,53	6	pre	
FR	species	C-abc	C	3	1	3	25.06.2014	a	Lotus corniculatus	9,31	6	pre	
FR	species	C-abc	C	3	1	3	25.06.2014	b	Trifolium pratense	1,97	6	pre	
FR	species	C-abc	C	3	1	3	25.06.2014	c	Vicia hirsuta	25,54	6	pre	
FR	species	C-a	C	3	1	1	25.06.2014	a	Lotus corniculatus	26,37	18	pre	
FR	species	C-5	C	3	0	1	25.06.2014	5	Cerastium fontanum	3,36	18	pre	
FR	species	C-3cd	C	3	1	3	25.06.2014	3	Poa pratensis	6,46	6	pre	
FR	species	C-3cd	C	3	1	3	25.06.2014	c	Vicia hirsuta	28,67	6	pre	
FR	species	C-3cd	C	3	1	3	25.06.2014	d	Trifolium repens	6,23	6	pre	
FR	species	C-1258cd	C	3	1	6	25.06.2014	1	Festuca arundinacea	8,58	3	pre	
FR	species	C-1258cd	C	3	1	6	25.06.2014	2	Trisetum flavescens	7	3	pre	
FR	species	C-1258cd	C	3	1	6	25.06.2014	5	Cerastium fontanum	2,14	3	pre	
FR	species	C-1258cd	C	3	1	6	25.06.2014	8	Taraxacum officinale	1,53	3	pre	
FR	species	C-1258cd	C	3	1	6	25.06.2014	c	Vicia hirsuta	12,42	3	pre	
FR	species	C-1258cd	C	3	1	6	25.06.2014	d	Trifolium repens	1,31	3	pre	
FR	species	D-123	D	4	0	3	25.06.2014	1	Festuca arundinacea	4,99	6	pre	
FR	species	D-123	D	4	0	3	25.06.2014	2	Trisetum flavescens	11,55	6	pre	
FR	species	D-123	D	4	0	3	25.06.2014	3	Poa pratensis	0,77	6	pre	
FR	species	D-7	D	4	0	1	25.06.2014	7	Knautia arvensis	21,32	18	pre	
FR	species	D-2468ad	D	4	1	6	25.06.2014	2	Trisetum flavescens	6,08	3	pre	
FR	species	D-2468ad	D	4	1	6	25.06.2014	4	Dactylis glomerata	11,1	3	pre	
FR	species	D-2468ad	D	4	1	6	25.06.2014	6	Plantago lanceolata	7,21	3	pre	
FR	species	D-2468ad	D	4	1	6	25.06.2014	8	Taraxacum officinale	1,69	3	pre	
FR	species	D-2468ad	D	4	1	6	25.06.2014	a	Lotus corniculatus	2,33	3	pre	
FR	species	D-2468ad	D	4	1	6	25.06.2014	d	Trifolium repens	2,23	3	pre	
FR	species	D-123567	D	4	0	6	25.06.2014	1	Festuca arundinacea	4,74	3	pre	
FR	species	D-123567	D	4	0	6	25.06.2014	2	Trisetum flavescens	4,86	3	pre	
FR	species	D-123567	D	4	0	6	25.06.2014	3	Poa pratensis	0,8	3	pre	
FR	species	D-123567	D	4	0	6	25.06.2014	5	Cerastium fontanum	2,08	3	pre	
FR	species	D-123567	D	4	0	6	25.06.2014	6	Plantago lanceolata	3,89	3	pre	
FR	species	D-123567	D	4	0	6	25.06.2014	7	Knautia arvensis	0	0	pre	
FR	species	D-68b	D	4	1	3	25.06.2014	6	Plantago lanceolata	6,24	3	pre	
FR	species	D-68b	D	4	1	3	25.06.2014	8	Taraxacum officinale	2,99	6	pre	
FR	species	D-68b	D	4	1	3	25.06.2014	b	Trifolium pratense	2,09	6	pre	
FR	species	D-17c	D	4	1	3	25.06.2014	1	Festuca arundinacea	4,98	6	pre	
FR	species	D-17c	D	4	1	3	25.06.2014	7	Knautia arvensis	3,91	6	pre	
FR	species	D-17c	D	4	1	3	25.06.2014	c	Vicia hirsuta	56,68	6	pre	
FR	species	D-a	D	4	1	1	25.06.2014	a	Lotus corniculatus	24,65	18	pre	
FR	species	D-d	D	4	1	1	25.06.2014	d	Trifolium repens	17,44	18	pre	
FR	species	D-124678	D	4	0	6	25.06.2014	1	Festuca arundinacea	1,82	3	pre	
FR	species	D-124678	D	4	0	6	25.06.2014	2	Trisetum flavescens	0,85	3	pre	
FR	species	D-124678	D	4	0	6	25.06.2014	4	Dactylis glomerata	6,98	3	pre	
FR	species	D-124678	D	4	0	6	25.06.2014	6	Plantago lanceolata	0,81	3	pre	
FR	species	D-124678	D	4	0	6	25.06.2014	7	Knautia arvensis	1,78	3	pre	
FR	species	D-124678	D	4	0	6	25.06.2014	8	Taraxacum officinale	0,67	3	pre	
FR	species	D-1467bd	D	4	1	6	25.06.2014	1	Festuca arundinacea	4,58	3	pre	
FR	species	D-1467bd	D	4	1	6	25.06.2014	4	Dactylis glomerata	12,43	3	pre	
FR	species	D-1467bd	D	4	1	6	25.06.2014	6	Plantago lanceolata	12,03	3	pre	
FR	species	D-1467bd	D	4	1	6	25.06.2014	7	Knautia arvensis	1,68	3	pre	
FR	species	D-1467bd	D	4	1	6	25.06.2014	b	Trifolium pratense	2,16	3	pre	
FR	species	D-1467bd	D	4	1	6	25.06.2014	d	Trifolium repens	4,53	3	pre	
FR	species	D-148	D	4	0	3	25.06.2014	1	Festuca arundinacea	4,1	6	pre	
FR	species	D-148	D	4	0	3	25.06.2014	4	Dactylis glomerata	15,48	6	pre	
FR	species	D-148	D	4	0	3	25.06.2014	8	Taraxacum officinale	1,51	6	pre	
FR	species	D-1	D	4	0	1	25.06.2014	1	Festuca arundinacea	20,67	18	pre	
FR	species	C-1358ac	C	5	1	6	25.06.2014	1	Festuca arundinacea	4,05	3	pre	
FR	species	C-1358ac	C	5	1	6	25.06.2014	3	Poa pratensis	6,3	3	pre	
FR	species	C-1358ac	C	5	1	6	25.06.2014	5	Cerastium fontanum	1,45	3	pre	
FR	species	C-1358ac	C	5	1	6	25.06.2014	8	Taraxacum officinale	2,11	3	pre	
FR	species	C-1358ac	C	5	1	6	25.06.2014	a	Lotus corniculatus	8,25	3	pre	
FR	species	C-1358ac	C	5	1	6	25.06.2014	c	Vicia hirsuta	16,04	3	pre	
FR	species	C-1	C	5	0	1	25.06.2014	1	Festuca arundinacea	17,54	18	pre	
FR	species	C-567abc	C	5	1	6	25.06.2014	5	Cerastium fontanum	2,12	3	pre	
FR	species	C-567abc	C	5	1	6	25.06.2014	6	Plantago lanceolata	6,99	2	pre	
FR	species	C-567abc	C	5	1	6	25.06.2014	7	Knautia arvensis	2,5	3	pre	
FR	species	C-567abc	C	5	1	6	25.06.2014	a	Lotus corniculatus	3,39	3	pre	
FR	species	C-567abc	C	5	1	6	25.06.2014	b	Trifolium pratense	2,65	3	pre	
FR	species	C-567abc	C	5	1	6	25.06.2014	c	Vicia hirsuta	19,29	3	pre	
FR	species	C-4	C	5	0	1	25.06.2014	4	Dactylis glomerata	30,21	18	pre	
FR	species	C-234568	C	5	0	6	25.06.2014	2	Trisetum flavescens	2,3	3	pre	
FR	species	C-234568	C	5	0	6	25.06.2014	3	Poa pratensis	4,35	3	pre	
FR	species	C-234568	C	5	0	6	25.06.2014	4	Dactylis glomerata	15,63	3	pre	
FR	species	C-234568	C	5	0	6	25.06.2014	5	Cerastium fontanum	1,69	3	pre	
FR	species	C-234568	C	5	0	6	25.06.2014	6	Plantago lanceolata	3	3	pre	
FR	species	C-234568	C	5	0	6	25.06.2014	8	Taraxacum officinale	0,74	3	pre	
FR	species	C-567	C	5	0	3	25.06.2014	5	Cerastium fontanum	4,64	6	pre	
FR	species	C-567	C	5	0	3	25.06.2014	6	Plantago lanceolata	7,12	6	pre	
FR	species	C-567	C	5	0	3	25.06.2014	7	Knautia arvensis	4,33	6	pre	
FR	species	C-6	C	5	0	1	25.06.2014	6	Plantago lanceolata	24,19	14	pre	
FR	species	C-48d	C	5	1	3	25.06.2014	4	Dactylis glomerata	13,52	6	pre	
FR	species	C-48d	C	5	1	3	25.06.2014	8	Taraxacum officinale	1,68	6	pre	
FR	species	C-48d	C	5	1	3	25.06.2014	d	Trifolium repens	7,49	6	pre	
FR	species	C-c	C	5	1	1	25.06.2014	c	Vicia hirsuta	77,47	18	pre	
FR	species	C-124678	C	5	0	6	25.06.2014	1	Festuca arundinacea	2,99	3	pre	
FR	species	C-124678	C	5	0	6	25.06.2014	2	Trisetum flavescens	1,67	3	pre	
FR	species	C-124678	C	5	0	6	25.06.2014	4	Dactylis glomerata	4,31	3	pre	
FR	species	C-124678	C	5	0	6	25.06.2014	6	Plantago lanceolata	3,2	3	pre	
FR	species	C-124678	C	5	0	6	25.06.2014	7	Knautia arvensis	0,98	3	pre	
FR	species	C-124678	C	5	0	6	25.06.2014	8	Taraxacum officinale	0,41	3	pre	
FR	species	C-5ad	C	5	1	3	25.06.2014	5	Cerastium fontanum	2,88	6	pre	
FR	species	C-5ad	C	5	1	3	25.06.2014	a	Lotus corniculatus	11,28	6	pre	
FR	species	C-5ad	C	5	1	3	25.06.2014	d	Trifolium repens	4,69	6	pre	
FR	species	C-68b	C	5	1	3	25.06.2014	6	Plantago lanceolata	9,87	6	pre	
FR	species	C-68b	C	5	1	3	25.06.2014	8	Taraxacum officinale	2,12	6	pre	
FR	species	C-68b	C	5	1	3	25.06.2014	b	Trifolium pratense	2,29	6	pre	
FR	species	D-2357ac	D	6	1	6	25.06.2014	2	Trisetum flavescens	3,02	3	pre	
FR	species	D-2357ac	D	6	1	6	25.06.2014	3	Poa pratensis	0,55	3	pre	
FR	species	D-2357ac	D	6	1	6	25.06.2014	5	Cerastium fontanum	2,07	3	pre	
FR	species	D-2357ac	D	6	1	6	25.06.2014	7	Knautia arvensis	1,56	3	pre	
FR	species	D-2357ac	D	6	1	6	25.06.2014	a	Lotus corniculatus	1,26	3	pre	
FR	species	D-2357ac	D	6	1	6	25.06.2014	c	Vicia hirsuta	49,92	3	pre	
FR	species	D-c	D	6	1	1	25.06.2014	c	Vicia hirsuta	132,76	18	pre	
FR	species	D-3	D	6	0	1	25.06.2014	3	Poa pratensis	15,12	18	pre	
FR	species	D-134578	D	6	0	6	25.06.2014	1	Festuca arundinacea	0,93	3	pre	
FR	species	D-134578	D	6	0	6	25.06.2014	3	Poa pratensis	0,25	3	pre	
FR	species	D-134578	D	6	0	6	25.06.2014	4	Dactylis glomerata	15,07	3	pre	
FR	species	D-134578	D	6	0	6	25.06.2014	5	Cerastium fontanum	1,55	3	pre	
FR	species	D-134578	D	6	0	6	25.06.2014	7	Knautia arvensis	1,09	3	pre	
FR	species	D-134578	D	6	0	6	25.06.2014	8	Taraxacum officinale	1,1	3	pre	
FR	species	D-1358ac	D	6	1	6	25.06.2014	1	Festuca arundinacea	5,27	3	pre	
FR	species	D-1358ac	D	6	1	6	25.06.2014	3	Poa pratensis	0,85	3	pre	
FR	species	D-1358ac	D	6	1	6	25.06.2014	5	Cerastium fontanum	1,05	3	pre	
FR	species	D-1358ac	D	6	1	6	25.06.2014	8	Taraxacum officinale	2,85	3	pre	
FR	species	D-1358ac	D	6	1	6	25.06.2014	a	Lotus corniculatus	4,2	3	pre	
FR	species	D-1358ac	D	6	1	6	25.06.2014	c	Vicia hirsuta	62,13	3	pre	
FR	species	D-5	D	6	0	1	25.06.2014	5	Cerastium fontanum	12,9	18	pre	
FR	species	D-b	D	6	1	1	25.06.2014	b	Trifolium pratense	13,38	18	pre	
FR	species	D-5ad	D	6	1	3	25.06.2014	5	Cerastium fontanum	5,29	6	pre	
FR	species	D-5ad	D	6	1	3	25.06.2014	a	Lotus corniculatus	4,4	6	pre	
FR	species	D-5ad	D	6	1	3	25.06.2014	d	Trifolium repens	5,24	6	pre	
FR	species	D-26b	D	6	1	3	25.06.2014	2	Trisetum flavescens	6,42	6	pre	
FR	species	D-26b	D	6	1	3	25.06.2014	6	Plantago lanceolata	9,37	4	pre	
FR	species	D-26b	D	6	1	3	25.06.2014	b	Trifolium pratense	2,15	6	pre	
FR	species	D-234568	D	6	0	6	25.06.2014	2	Trisetum flavescens	2,81	3	pre	
FR	species	D-234568	D	6	0	6	25.06.2014	3	Poa pratensis	0,49	3	pre	
FR	species	D-234568	D	6	0	6	25.06.2014	4	Dactylis glomerata	5,42	3	pre	
FR	species	D-234568	D	6	0	6	25.06.2014	5	Cerastium fontanum	0,92	3	pre	
FR	species	D-234568	D	6	0	6	25.06.2014	6	Plantago lanceolata	14,29	3	pre	
FR	species	D-234568	D	6	0	6	25.06.2014	8	Taraxacum officinale	1,31	3	pre	
FR	species	D-3cd	D	6	1	3	25.06.2014	3	Poa pratensis	6,87	6	pre	
FR	species	D-3cd	D	6	1	3	25.06.2014	c	Vicia hirsuta	50,13	6	pre	
FR	species	D-3cd	D	6	1	3	25.06.2014	d	Trifolium repens	4,2	6	pre	
FR	species	D-567	D	6	0	3	25.06.2014	5	Cerastium fontanum	4,29	6	pre	
FR	species	D-567	D	6	0	3	25.06.2014	6	Plantago lanceolata	9,21	2	pre	
FR	species	D-567	D	6	0	3	25.06.2014	7	Knautia arvensis	4,05	6	pre	
FR	within	C-KOQSUV	C	1	0	6	25.06.2014	K	AT Dactylis	0,63	3	pre	
FR	within	C-KOQSUV	C	1	0	6	25.06.2014	O	DE Dactylis	3,52	3	pre	
FR	within	C-KOQSUV	C	1	0	6	25.06.2014	Q	IT Dactylis	12,14	3	pre	
FR	within	C-KOQSUV	C	1	0	6	25.06.2014	S	SE Dactylis	0,75	3	pre	
FR	within	C-KOQSUV	C	1	0	6	25.06.2014	U	TR Dactylis	7,25	3	pre	
FR	within	C-KOQSUV	C	1	0	6	25.06.2014	V	UA Dactylis	5,8	3	pre	
FR	within	C-NOQ	C	1	0	3	25.06.2014	N	FR Dactylis	10,61	6	pre	
FR	within	C-NOQ	C	1	0	3	25.06.2014	O	DE Dactylis	14,24	6	pre	
FR	within	C-NOQ	C	1	0	3	25.06.2014	Q	IT Dactylis	25,28	6	pre	
FR	within	C-KNRTUV	C	1	0	6	25.06.2014	K	AT Dactylis	0,49	3	pre	
FR	within	C-KNRTUV	C	1	0	6	25.06.2014	N	FR Dactylis	5,04	3	pre	
FR	within	C-KNRTUV	C	1	0	6	25.06.2014	R	ES Dactylis	9,39	3	pre	
