/* DATA DESCRIPTION:
Citation:	Milcu, Alexandru; Puga-Freitas, Ruben; Ellison, Aaron M; Blouin, Manuel; Scheu, Stefan; Girin, Thomas; Freschet, Grégoire T; Rose, Laura; Scherer-Lorenzen, Michael; Barot, Sebastien; Lata, Jean-Christophe; Cesarz, Simone; Eisenhauer, Nico; Gigon, Agnès; Weigelt, Alexandra; Hansart, Amandine; Greiner, Anna; Pando, Anne; Gessler, Arthur; Grignani, Carlo; Assandri, Davide; Gleixner, Gerd; LeGalliard, Jean-Francois; Urban-Mead, Katherine; Zavattaro, Laura; Müller, Marina E H; Lange, Markus; Lukac, Martin; Bonkowski, Michael; Mannerheim, Neringa; Buchmann, Nina; Butenschoen, Olaf; Rotter, Paula; Seyhun, Rahme; Devidal, Sébastien; Kayler, Zachary; Roy, Jacques (2017): Data from 14 labortories testing the impact of introduced variability on the reproducibility of a microcosm ecological experiment. PANGAEA, https://doi.org/10.1594/PANGAEA.880980, 
	Supplement to: Milcu, A et al. (2018): Genotypic variability enhances the reproducibility of an ecological study. Nature Ecology & Evolution, 2, 279-287, https://doi.org/10.1038/s41559-017-0434-x
Abstract:	Although microcosm experiments are a frequent tool used to address fundamental ecological questions, there has been no quantitative assessment of the reproducibility of any microcosm experiment. This dataset contains the response variables measured in a multi-laboratory microcosm study in which the same microcosm experiment was repeated in 14 laboratories across Europe. All laboratories simultaneously run a simple microcosm experiment using grass (Brachypodium distachyon L.) monocultures and grass and legume (Medicago truncatula Gaertn.) mixtures. All twelve variables were then used to calculate the effect of the presence of nitrogen-fixing legume on the grass-legume mixtures (i.e. the net legume effect).
	The project tested a controversial hypotheses postulating that stringent levels of environmental and biotic standardization in experimental studies reduces reproducibility by amplifying impacts of lab-specific environmental factors not accounted for in the experimental design. This implies that the deliberate introduction of controlled systematic variability (CSV) in experimental designs can increase reproducibility. To test this hypothesis, each laboratory followed the same experimental protocol and introduced environmental and genotypic controlled systematic variability (CSV) within and among replicated microcosms established in either growth chambers (with stringent control of environmental conditions) or glasshouses (with more variable environmental conditions). Data were used to test the extent to which the effect size of the net legume effect varied with the CSV treatment and to estimate the number of laboratories that produced results that can be considered reproducible.
Parameter(s):	Laboratory (Lab) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr)
	Method comment (Method comm) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr) * COMMENT: type of setup
	Identification (ID) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr) * COMMENT: Microcosm ID
	Block (Block) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr)
	Treatment (Treat) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr) * COMMENT: legume
	Treatment (Treat) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr) * COMMENT: controlled systematic variabiliy
	Genotype (Genotype) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr)
	Biomass, dry mass [g] (Biom dm) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr) * COMMENT: seed
	Biomass, dry mass [g] (Biom dm) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr) * COMMENT: shoot
	Biomass, dry mass [g] (Biom dm) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr) * COMMENT: root
	Biomass, dry mass [g] (Biom dm) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr) * COMMENT: total
	Root/shoot ratio (Root/shoot) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr) * COMMENT: biomass
	Brachypodium distachyon, height [cm] (B. distachyon height) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr)
	Nitrogen, shoot [%] (N shoot) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr)
	Carbon, shoot [%] (C shoot) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr)
	δ15N [‰ air] (δ15N) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr)
	δ13C [‰ PDB] (δ13C) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr)
	Evapotranspiration [ml/day] (ET) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr)
	Litter [g] (Litter) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr) * COMMENT: mass remaining
License:	Creative Commons Attribution-NonCommercial-NoDerivs 3.0 Unported (CC-BY-NC-ND-3.0)
Size:	18824 data points
*/
Lab	Method comm	ID	Block	Treat (legume)	Treat (controlled systematic variabiliy)	Genotype	Biom dm [g] (seed)	Biom dm [g] (shoot)	Biom dm [g] (root)	Biom dm [g] (total)	Root/shoot	B. distachyon height [cm]	N shoot [%]	C shoot [%]	δ15N [‰ air]	δ13C [‰ PDB]	ET [ml/day]	Litter [g]
L1	growth_chamber	37	block2	B	CTR	B1	1.270	2.824	1.555	5.649	1.555	31.9	0.684	46.491	2.154	-29.777	145.9	0.62
L1	growth_chamber	38	block2	B	CTR	B1		2.771	1.610	5.955	1.610	35.0	0.595	46.578	1.769	-29.557	161.5	0.46
L1	growth_chamber	39	block2	B	CTR	B1	1.401	2.993	1.442	5.836	1.442	33.5	0.718	44.814	1.159	-29.561	155.0	0.53
L1	growth_chamber	40	block2	B	ENVw	B1	1.187	3.439	1.802	6.428	1.802	31.6	0.685	45.799	2.430	-29.197	158.3	0.55
L1	growth_chamber	41	block2	B	ENVw	B1	1.439	2.970	1.441	5.851	1.441	31.6	0.631	46.956	2.418	-29.502	143.9	0.47
L1	growth_chamber	42	block2	B	ENVw	B1	1.362	2.791	1.609	5.762	1.609	31.4	0.656	46.082	2.476	-29.535	137.3	0.39
L1	growth_chamber	43	block2	B	ENVb	B1	1.441	3.070	1.744	6.255	1.744	33.5	0.637	46.746	1.428	-29.567	162.5	0.38
L1	growth_chamber	44	block2	B	ENVb	B1		2.569	1.560	5.666	1.560	31.6	0.592	45.006	2.223	-29.674	148.8	0.60
L1	growth_chamber	45	block2	B	ENVb	B1		2.949	1.528	6.103	1.528	33.9	0.624	45.672	2.689	-29.083	145.1	0.59
L1	growth_chamber	46	block2	B	GENw	B1	0.297	2.896	2.812	6.005	2.812	23.3	0.656	46.238	1.314	-28.870	138.5	0.56
L1	growth_chamber	47	block2	B	GENw	B1	0.647	2.499	1.685	4.831	1.685	34.9	0.624	46.397	2.055	-29.131	129.8	0.43
L1	growth_chamber	48	block2	B	GENw	B1	0.309	2.829	1.548	4.686	1.548	27.0	0.746	46.031	1.429	-29.009	134.8	0.47
L1	growth_chamber	49	block2	B	GENb	B1	0.922	2.732	1.794	5.449	1.794	32.9	0.725	45.305	1.950	-29.399	139.7	0.53
L1	growth_chamber	50	block2	B	GENb	B1	0.514	2.840	1.426	4.779	1.426	28.0	0.725	46.211	1.623	-29.291	132.0	0.52
L1	growth_chamber	51	block2	B	GENb	B1	0.446	2.945	1.485	4.876	1.485	25.6	0.709	45.915	1.639	-29.491	137.8	0.48
L1	growth_chamber	52	block2	B	ENVw+GENw	B1	0.340	2.985	1.629	4.955	1.629	31.8	0.594	45.579		-29.087	138.7	0.48
L1	growth_chamber	53	block2	B	ENVw+GENw	B1	0.730	3.184	2.041	5.955	2.041	38.6	0.601	46.034	3.218	-29.360	150.5	0.61
L1	growth_chamber	54	block2	B	ENVw+GENw	B1	0.629	3.222	1.728	5.579	1.728	24.2	0.623	46.592	2.755	-28.952	139.6	0.53
L1	growth_chamber	55	block2	BM	CTR	M1	0.690	4.532	2.072	7.294	2.072	31.9	0.714	45.069	1.220	-29.740	187.8	0.68
L1	growth_chamber	56	block2	BM	CTR	M1	0.524	5.148	1.833	7.506	1.833	33.7	0.738	45.417	1.147	-28.881	185.2	0.74
L1	growth_chamber	57	block2	BM	CTR	M1	0.607	4.765	2.110	7.482	2.110	28.1	0.596	45.385	0.954	-30.058	181.6	
L1	growth_chamber	58	block2	BM	ENVw	M1	0.615	5.816	2.477	8.908	2.477	30.8	0.634	44.087	2.687	-29.367	222.8	0.69
L1	growth_chamber	59	block2	BM	ENVw	M1	0.585	6.942	2.984	10.511	2.984	29.7	0.762	45.875		-29.887	223.8	0.52
L1	growth_chamber	60	block2	BM	ENVw	M1	0.696	5.981		10.171		34.2	0.647	45.879	1.957	-29.435	213.1	0.62
L1	growth_chamber	61	block2	BM	ENVb	M1	0.623	4.871	2.358	7.852	2.358	32.1	0.589	44.677	1.463	-29.403	189.9	0.48
L1	growth_chamber	62	block2	BM	ENVb	M1	0.772	5.984	2.398	9.154	2.398	30.3	0.723	45.862	1.773	-29.792	221.4	0.58
L1	growth_chamber	63	block2	BM	ENVb	M1	0.668	6.564	2.932	10.164	2.932	31.1	0.609	45.671	2.557	-29.262	239.9	0.50
L1	growth_chamber	64	block2	BM	GENw	M1	0.122	4.825	2.147	7.094	2.147	31.9	0.586	45.557	1.458	-29.608	203.2	0.58
L1	growth_chamber	65	block2	BM	GENw	M1	0.129	4.506	2.505	7.139	2.505	23.3	0.621	43.992	1.565	-28.538	184.2	0.63
L1	growth_chamber	66	block2	BM	GENw	M1	0.362	4.812	2.024	7.198	2.024	23.6	0.723	44.950	1.510		188.3	0.63
L1	growth_chamber	67	block2	BM	GENb	M1	0.525	5.671	2.469	8.665	2.469	30.4	0.622	46.016	1.866	-29.064	200.7	0.50
L1	growth_chamber	68	block2	BM	GENb	M1	0.308	5.409	2.436	8.153	2.436	33.2	0.609	45.592	1.770	-29.065	207.9	0.54
L1	growth_chamber	69	block2	BM	GENb	M1	0.175	5.078	2.746	7.999	2.746	28.0	0.652	44.675	1.049	-28.708	201.2	0.64
L1	growth_chamber	70	block2	BM	ENVw+GENw	M1	0.186	5.441	2.616	8.243	2.616	24.3	0.683	46.115	2.405	-29.693	211.7	0.57
L1	growth_chamber	71	block2	BM	ENVw+GENw	M1	0.140	7.016	3.004	10.160	3.004	24.7	0.636	44.117	1.966	-28.941	238.5	0.53
L1	growth_chamber	72	block2	BM	ENVw+GENw	M1	0.210	5.914	2.447	8.571	2.447	26.9	0.703	46.573	2.628	-28.800	219.2	0.48
L2	greenhouse	1	block1	B	CTR	B1	0.802	0.821	0.427	2.050	0.427	25.9	2.010	43.036	2.180	-31.415	61.3	0.86
L2	greenhouse	2	block1	B	CTR	B1	0.833	0.593	0.611	2.038	0.611	24.8	1.876	42.953	2.321	-31.397	64.0	0.72
L2	greenhouse	3	block1	B	CTR	B1	0.699	0.616	0.452	1.767	0.452	25.1	2.136	43.370	2.016	-31.768	66.5	0.73
L2	greenhouse	4	block1	B	ENVw	B1	0.764	0.553	0.363	1.680	0.363	25.7	2.210	42.562	2.543	-31.595	68.7	0.56
L2	greenhouse	5	block1	B	ENVw	B1	0.681	0.490	0.327	1.498	0.327	24.7	1.878	42.834	2.296	-31.716	63.2	0.55
L2	greenhouse	6	block1	B	ENVw	B1	0.685	0.419	0.449	1.552	0.449	24.2	2.516	43.387	1.629	-32.108	65.0	0.61
L2	greenhouse	7	block1	B	ENVb	B1	0.936	0.642	0.479	2.056	0.479	23.9	0.610	43.026	1.870	-31.894	59.6	0.69
L2	greenhouse	8	block1	B	ENVb	B1	0.841	0.524	0.279	1.643	0.279	24.6	1.986	43.014	1.937	-31.898	63.3	0.59
L2	greenhouse	9	block1	B	ENVb	B1	0.943	0.670	0.540	2.153	0.540	24.7	1.518	43.010	2.841	-31.675	62.8	0.54
L2	greenhouse	10	block1	B	GENw	B2	0.577	0.948	0.642	2.168	0.642	24.6	0.688	43.226	2.554	-30.785	62.2	0.83
L2	greenhouse	11	block1	B	GENw	B2	0.398	1.079	0.495	1.972	0.495	25.3	0.623	42.898	2.290	-30.660	64.4	0.74
L2	greenhouse	12	block1	B	GENw	B2	0.479	1.075	0.902	2.456	0.902	25.8	0.666	43.607	3.083	-30.979	63.7	0.93
L2	greenhouse	13	block1	B	GENb	B1	0.831	0.701	0.290	1.822	0.290	26.8	1.908	43.618	1.972	-31.556	57.0	0.77
L2	greenhouse	14	block1	B	GENb	B2	0.746	0.989	0.594	2.328	0.594	25.7	0.708		1.623	-30.887	67.9	0.69
L2	greenhouse	15	block1	B	GENb	B2	0.479	1.543	0.708	2.730	0.708	25.4	0.951	41.964	2.134	-30.720	62.0	0.84
L2	greenhouse	16	block1	B	ENVw+GENw	B2	0.440	1.236	0.480	2.155	0.480	25.3	1.434	43.341	2.594	-30.077	66.4	0.56
L2	greenhouse	17	block1	B	ENVw+GENw	B2	0.849	1.386	0.692	2.927	0.692	25.1	0.618	43.763	3.250	-30.563	73.7	0.64
L2	greenhouse	18	block1	B	ENVw+GENw	B2	0.562	1.264	0.680	2.507	0.680	25.0	1.564	43.221	2.820	-30.115	64.2	0.57
L2	greenhouse	19	block1	BM	CTR	B1	0.248	1.618	0.905	2.772	0.905	24.4	0.702	43.668	1.413	-31.865	70.4	0.74
L2	greenhouse	20	block1	BM	CTR	B1	0.304	1.749	0.988	3.040	0.988	24.3	1.955	43.456	1.611	-31.449	71.0	0.73
L2	greenhouse	21	block1	BM	CTR	B1	0.325	2.132	0.839	3.296	0.839	23.8	0.664	43.733	1.216	-31.354	71.1	0.58
L2	greenhouse	22	block1	BM	ENVw	B1	0.268	2.261	1.017	3.545	1.017	23.7	0.640	43.618	1.756	-31.169	82.6	0.89
L2	greenhouse	23	block1	BM	ENVw	B1	0.294	2.261	1.050	3.605	1.050	23.8	2.432	43.011	2.007	-31.428	81.1	0.65
L2	greenhouse	24	block1	BM	ENVw	B1	0.354	2.010	0.702	3.066	0.702	23.0	1.625	44.051	2.109	-30.720	83.6	0.65
L2	greenhouse	25	block1	BM	ENVb	B1	0.209	1.861	0.851	2.920	0.851	22.7	0.614	44.553	1.893	-31.023	71.7	0.75
L2	greenhouse	26	block1	BM	ENVb	B1	0.213	2.007	0.724	2.944	0.724	22.8	0.662	43.801	1.901	-30.846	86.6	0.59
L2	greenhouse	27	block1	BM	ENVb	B1	0.255	1.975	0.791	3.021	0.791	22.9	1.649	44.414	1.538	-30.969	87.2	0.56
L2	greenhouse	28	block1	BM	GENw	B1	0.186	1.837	0.820	2.842	0.820	22.9	1.686	44.401	2.268	-30.662	76.6	0.71
L2	greenhouse	29	block1	BM	GENw	B1	0.189	1.885	0.862	2.936	0.862	23.3	1.793	42.008	2.400	-30.709	76.0	0.78
L2	greenhouse	30	block1	BM	GENw	B1	0.199	1.751	0.727	2.677	0.727	23.3	0.619	43.069	2.045	-30.507	75.8	0.73
L2	greenhouse	31	block1	BM	GENb	B1	0.291	1.696	0.736	2.724	0.736	22.8	1.939	43.620	2.137	-31.497	75.9	0.75
L2	greenhouse	32	block1	BM	GENb	B1	0.336	1.683	0.697	2.716	0.697	24.2	0.614	43.025	2.170	-30.697	74.0	0.78
L2	greenhouse	33	block1	BM	GENb	B1	0.267	1.927	0.668	2.863	0.668	24.7	1.709	43.971	1.067	-30.621	77.3	0.66
L2	greenhouse	34	block1	BM	ENVw+GENw	B1	0.216	2.290	0.747	3.254	0.747	25.2	1.770	43.914	2.312	-30.029	92.3	0.62
L2	greenhouse	35	block1	BM	ENVw+GENw	B1	0.237	2.036	0.853	3.126	0.853	25.1	1.529	42.290	2.266	-30.285	87.1	0.53
L2	greenhouse	36	block1	BM	ENVw+GENw	B1	0.312	2.346	0.746	3.404	0.746	27.0	0.584		2.313	-30.200	90.0	0.54
L2	greenhouse	37	block2	B	CTR	B1	0.802	0.549	0.429	1.779	0.429	27.4	2.015	42.767	1.742	-31.662	83.3	0.76
L2	greenhouse	38	block2	B	CTR	B1	0.958	0.613	0.595	2.165	0.595	25.8	2.731	42.232	1.751	-31.590	77.3	0.69
L2	greenhouse	39	block2	B	CTR	B1	0.608	0.650	0.383	1.642	0.383	25.4	1.863	43.446		-31.679	75.3	0.72
L2	greenhouse	40	block2	B	ENVw	B1	0.979	0.605	0.835	2.419	0.835	24.4	1.235	43.617	2.640	-30.998	88.2	0.60
L2	greenhouse	41	block2	B	ENVw	B1	1.024	0.728	0.385	2.137	0.385	24.2	2.350	43.386		-31.178	87.8	0.75
L2	greenhouse	42	block2	B	ENVw	B1		0.579	0.497	2.947	0.497	22.6	1.584	42.678	2.395	-31.407	95.3	0.64
L2	greenhouse	43	block2	B	ENVb	B1	0.968	0.576	0.632	2.176	0.632	23.4	2.439	43.186	1.747	-31.594	75.5	0.75
L2	greenhouse	44	block2	B	ENVb	B1	0.972	0.614	0.554	2.140	0.554	24.3	2.909	43.184	2.838	-31.637	84.1	0.56
